SampleID,DSI,DSP,pH,DO,Cl,SO4,Ba,Ca,Cd,K,Mg,Mn,Na,Ni,S,Si,Sr,Zn
EM2001,1,1,6.29,4.26,1.690398,1159.362845,0.004397,294.852759,0.004773,6.28263,77.656369,13.856017,30.638184,0.617784,407.344669,14.754842,1.035324,10.643903
EM2002,19,19,5.64,2.73,110.944465,1175.158623,0.007548,291.781904,0.003271,165.239253,82.359585,15.118947,28.121517,0.584565,403.717165,13.942133,0.949545,8.897931
EM2003,80,61,6,6.89,1.585481,1163.358745,0.004538,298.732974,0.005221,6.347667,84.682513,13.417654,29.887717,0.548319,404.311858,13.008751,0.984355,8.867554
EM2005,677,351,7.16,2.81,6.116595,1421.214244,0.003987,346.872779,0.004285,13.813278,98.338101,27.15544,34.286828,0.714356,490.07041,15.885639,1.620893,11.87841
EM2006,677,351,7.16,2.81,6.116595,1421.214244,0.003987,346.872779,0.004285,13.813278,98.338101,27.15544,34.286828,0.714356,490.07041,15.885639,1.620893,11.87841
EM2007,714,37,6.65,2.61,4.466968,1457.46,0.008778,316.214104,0.002175,10.35842,90.154251,23.577277,27.076925,0.611025,475.030428,12.713958,1.677421,3.160579
EM2008,714,37,6.16,1.93,7.191989,1473.29,0.009433,343.312833,0.001149,10.088815,95.40116,20.98085,28.549021,0.288331,494.531667,10.288009,1.778076,0.215788
EM2009,931,217,6.4,2.28,142.630614,1437.917317,0.003185,264.531468,0.002498,131.18187,85.450106,20.221376,25.530467,0.502837,377.793701,12.536704,1.91866,9.684956
EM2010,948,17,6.71,2.7,27.697668,1468.942174,0.002456,308.905161,0.001983,30.375766,95.433485,23.919729,28.846714,0.592836,434.08578,14.133295,8.261523,10.215466
EM2011,967,19,6.46,2.15,8.45098,1485.365312,0.003973,310.383867,0.002853,13.98782,94.368174,23.47698,30.368887,0.601441,427.576561,14.120602,7.750669,9.974645
EM3001,677,351,6.47,2.39,45.535963,1428.521748,0.001944,315.863666,0.003293,53.331717,92.924597,23.818291,29.573342,0.805516,452.281,14.009763,1.368366,18.469643
EM3003,931,217,7.12,7.7,2.595403,1439.061166,0.001475,262.184976,0.004209,5.613616,85.415275,20.864481,24.964642,0.639223,373.707448,12.382641,1.853665,14.768041
EM3004,948,17,6.99,2.12,204.176036,1511.043486,0.002067,325.664431,0.003598,183.451622,94.931576,25.868321,28.143677,0.750423,447.910721,14.274257,8.906379,14.863032
EM3005,967,19,6.36,2.45,474.850278,1492.615805,0.003958,328.03898,0.007263,399.615432,96.44904,24.565163,29.737758,0.722252,452.084086,13.902027,8.403501,14.327129
EM6001,677,351,6.8,5.45,14.366251,1568.23,0.007053,361.995729,0.068386,20.884215,109.138104,4.277996,33.265761,0.106724,493.366155,15.192285,1.829088,2.01958
EM8001,677,351,6.79,7,22.076166,1485.755644,0.004767,321.771785,0.004247,30.21087,96.638136,6.743255,34.080669,0.407048,464.579357,13.071998,1.544684,6.501875
EM8002,714,37,6.41,7.6,5.169764,1476.42,0.007564,311.615535,0.002933,8.990438,96.229162,3.632042,29.246446,0.342565,471.089099,12.295803,1.700567,5.568647
EM8003,931,217,6.38,7.7,2.218298,1475.659613,0.003844,284.357359,0.001156,5.983201,89.066602,2.487081,26.796867,0.256213,394.462388,11.619823,1.854638,3.665449