Sample ID,Site Collected From,Collection date,Days Since Initial Extraction,Days Since Previous Extraction,Total Volume (mL),pH,Temperature,DO,Chloride,Nitrate,Sulfate,Al 396.153 - A,As 188.979 - A,B 249.677 - R,Ba 233.527 - A,Ca 317.933 - A,Fe 238.204 - A,K 766.490 - R,Li 670.784 - R,Mg 285.213 - R,Mg 279.077 - R,Mn 257.610 - A,Na 589.592 - R,Ni 231.604 - A,S 180.669 - A,Si 251.611 - A,Sr 460.733 - A,Zn 213.857 - A
EM2001,Borehole 2,12/2/16,0,0,1400,6.29,12.1,4.26,1.69,,1159.36,0.028254,0.01485,0.225453,0.004397,294.852759,,6.28263,0.009853,77.656369,84.783711,13.856017,30.638184,0.617784,407.344669,14.754842,1.035324,10.643903
EM2002,Borehole 2,12/21/16,19,19,1600,5.64,12.1,2.73,110.94,,1175.16,0.034406,0.0056,0.054365,0.007548,291.781904,0.074904,165.239253,0.01351,82.359585,76.306315,15.118947,28.121517,0.584565,403.717165,13.942133,0.949545,8.897931
EM2003,Borehole 2,2/20/17,80,61,1250,6,,6.89,1.59,,1163.36,,0.009318,0.118921,0.004538,298.732974,,6.347667,0.014705,84.682513,78.658107,13.417654,29.887717,0.548319,404.311858,13.008751,0.984355,8.867554
EM2004,Borehole 2,10/24/17,326,246,1500,6.07,,1.97,,,,,,,,,,,,,,,,,,,,
EM2005,Borehole 2,10/10/18,677,351,1380,7.16,,2.81,6.12,,1421.21,,0.058015,0.128036,0.003987,346.872779,0.019371,13.813278,0.022859,98.338101,100.400229,27.15544,34.286828,0.714356,490.07041,15.885639,1.620893,11.87841
EM2006,Borehole 2,10/10/18,677,351,420,7.16,,2.81,6.12,,1421.21,,0.058015,0.128036,0.003987,346.872779,0.019371,13.813278,0.022859,98.338101,100.400229,27.15544,34.286828,0.714356,490.07041,15.885639,1.620893,11.87841
EM2007,Borehole 2,11/16/18,714,37,1020,6.65,11.7,2.61,4.47,,"1,457.46",,0.0602,0.0223,0.0088,316.2141,0.0038,10.3584,0.0067,90.1543,89.7159,23.5773,27.0769,0.611,475.0304,12.714,1.6774,3.1606
EM2008,Borehole 2,11/16/18,714,37,1297,6.16,10.4,1.93,7.19,0.84,"1,473.29",,0.052978006,0.011062807,0.00943255,343.3128328,0.008255091,10.08881476,0.009960603,95.40116049,94.44784494,20.98085022,28.54902124,0.288330789,494.5316673,10.28800921,1.778075807,0.215787623
EM2009,Borehole 2,6/21/19,931,217,2400,6.4,13.7,2.28,142.63,0.45,1437.92,0.013495,0.051861,0.141166,0.003185,264.531468,0.043067,131.18187,0.010672,85.450106,80.621495,20.221376,25.530467,0.502837,377.793701,12.536704,1.91866,9.684956
EM2010,Borehole 2,7/8/19,948,17,1420,6.71,12.9,2.7,27.7,,1468.94,0.01069,0.054157,0.083814,0.002456,308.905161,0.022753,30.375766,0.008998,95.433485,93.143321,23.919729,28.846714,0.592836,434.08578,14.133295,8.261523,10.215466
EM2011,Borehole 2,7/25/19,967,19,1245,6.46,17.6,2.15,8.45,,1485.37,0.026533,0.051036,0.077287,0.003973,310.383867,0.089463,13.98782,0.009255,94.368174,92.133289,23.47698,30.368887,0.601441,427.576561,14.120602,7.750669,9.974645
EM2012,Borehole 2,6/24/20,1303,336,2550,5.66,15.2,,2.43,,1630.45,,0.047446,0.009067,0.002995,232.620609,0.004874,4.041129,0.004112,63.421085,63.839654,18.993257,20.277602,0.415146,370.816989,10.792001,1.298919,7.839283
EM3001,Borehole 3,10/10/18,677,351,31,6.47,,2.39,45.54,,1428.52,0.001825,0.042327,0.110181,0.001944,315.863666,0.014373,53.331717,0.013774,92.924597,89.296376,23.818291,29.573342,0.805516,452.281,14.009763,1.368366,18.469643
EM3002,Borehole 3,11/16/18,714,37,40,,,,,,,,,,,,,,,,,,,,,,,
EM3003,Borehole 3,6/21/19,931,217,323,7.12,13.6,7.7,2.6,,1439.06,0.012543,0.060725,0.091797,0.001475,262.184976,0.019693,5.613616,0.009599,85.415275,82.953024,20.864481,24.964642,0.639223,373.707448,12.382641,1.853665,14.768041
EM3004,Borehole 3,7/8/19,948,17,720,6.99,14.3,2.12,204.18,,1511.04,0.013753,0.055058,0.109378,0.002067,325.664431,0.084977,183.451622,0.010998,94.931576,93.176613,25.868321,28.143677,0.750423,447.910721,14.274257,8.906379,14.863032
EM3005,Borehole 3,7/25/19,967,19,420,6.36,17,2.45,474.85,0.52,1492.62,0.02198,0.048835,0.186346,0.003958,328.03898,0.154978,399.615432,0.01646,96.44904,92.577538,24.565163,29.737758,0.722252,452.084086,13.902027,8.403501,14.327129
EM3006,Borehole 3,6/24/20,1303,336,420,5.74,11.3,,43.49,,1646.81,,0.048216,0.005524,0.002341,201.690258,0.009325,25.151538,,47.979926,49.259635,18.129238,14.682177,0.425317,339.841144,8.825444,1.329319,9.272047
EM6001,Borehole 6,10/10/18,677,351,25,6.8,,5.45,14.37,1.06,1568.23,0.01421,0.046329,0.102166,0.007053,361.995729,0.020983,20.884215,0.013016,109.138104,103.711125,4.277996,33.265761,0.106724,493.366155,15.192285,1.829088,2.019579684
EM6002,Borehole 6,6/24/20,1303,623,60,5.3,11.4,,77.6,1.27,1683.15,0.020816,0.040226,,0.004371,210.892027,0.015039,149.566507,0.004237,55.674271,57.909674,1.616254,13.639589,0.065327,412.713664,8.161551,1.655616,5.815583
EM8001,Borehole 8,10/10/18,677,351,145,6.79,,7,22.08,1.51,1485.76,0.001523,0.044955,0.124056,0.004767,321.771785,0.042402,30.21087,0.033347,96.638136,95.812869,6.743255,34.080669,0.407048,464.579357,13.071998,1.544684,6.501875
EM8002,Borehole 8,11/16/18,714,37,210,6.41,10.6,7.6,5.17,1.27,"1,476.42",,0.0419,0.0133,0.0076,311.6155,0.0053,8.9904,0.0046,96.2292,91.4291,3.632,29.2464,0.3426,471.0891,12.2958,1.7006,5.5686
EM8003,Borehole 8,6/21/19,931,217,107,6.38,13.5,7.7,2.22,0.75,1475.66,0.012832,0.048999,0.08133,0.003844,284.357359,0.019396,5.983201,0.009579,89.066602,85.194506,2.487081,26.796867,0.256213,394.462388,11.619823,1.854638,3.665449
EM8004,Borehole 8,6/24/20,1303,368,60,6.02,11.6,,7.37,1.62,1623.02,,0.014853,0.004137,0.001863,103.021051,0.00283,3.880846,,27.925709,29.239758,1.577377,9.066094,0.116146,191.125311,4.384375,0.76564,1.876635